date,temp_max,humidity,visibility,cloudiness,wind_speed,rain
1/1/2023,81.05,83,7884.4375,67.69230769,11.435,1.37
1/2/2023,78.1,86,6607.970588,95.29411765,18.10352941,14.09
1/3/2023,79.05,75.90625,8445.21875,79.53125,13.549375,5.83
1/4/2023,74.08,47.66666667,10000,28.79166667,7.06125,
1/5/2023,74.1,50.875,10000,21.45833333,5.162916667,
1/6/2023,80.11,69.95833333,9770.166667,48.33333333,11.22541667,0.25
1/7/2023,82.06,80.2,9402.48,68.6,10.12,2.73
1/8/2023,77.14,80.7,8919.85,73,13.8575,92.41
1/9/2023,71.11,71.41666667,9985.666667,8.958333333,10.32125,
1/10/2023,78.08,83.92,8533,77.8,9.07,0.5
1/11/2023,82.04,80.25,9688.791667,60.41666667,14.70958333,0.25
1/12/2023,76.08,68.29166667,10000,52.91666667,17.62208333,1.35
1/13/2023,63.1,47.79166667,10000,9.791666667,17.81875,
1/14/2023,66.06,45.5,10000,38.54166667,9.498333333,
1/15/2023,74.08,73.95833333,10000,86.25,15.35291667,
1/16/2023,77,76.58333333,9861.291667,95.83333333,14.75833333,1.44
1/17/2023,80.06,84.08,6517.6,85.2,9.3648,0.5
1/18/2023,78.1,86,6513.740741,84.62962963,13.99740741,10.66
1/19/2023,73.02,51.66666667,10000,16.45833333,8.129583333,
1/20/2023,68.65,55,9521.84,88.2,12.4196,1.44
1/21/2023,56.05,80.36,9190.92,99,12.8948,18.47
1/22/2023,62.58,76.48,9092,45.2,10.9452,0.5
1/23/2023,61.02,58.04166667,10000,23.54166667,10.71375,
1/24/2023,71.58,83.25714286,6547.827586,95.71428571,21.83685714,107.35
1/25/2023,55.11,75.375,10000,65,16.69625,1
1/26/2023,59.11,69.66666667,10000,18.125,8.700416667,
1/27/2023,59.09,56.58333333,10000,44.79166667,6.049583333,
1/28/2023,72.05,82.6,8574.933333,98.33333333,15.61533333,8.23
1/29/2023,75.92,87.38235294,7897.764706,94.85294118,14.18558824,27.23
1/30/2023,68.09,88.72,6319.708333,100,13.2824,2.22
1/31/2023,45.05,93,3036.8,100,13.69962963,2.04
2/1/2023,42.08,89.46666667,7375.666667,98.33333333,14.059,9.22
2/2/2023,42.78,90.6097561,5545.463415,96.95121951,11.56121951,18.85
2/3/2023,61.02,80.625,8448.541667,70.83333333,11.87,0.25
2/4/2023,66.11,71.04166667,10000,6.666666667,8.2725,
2/5/2023,76.08,78.91666667,10000,66.45833333,8.879166667,
2/6/2023,75.11,80.41666667,10000,53.125,15.56666667,
2/7/2023,76.1,81.125,9755.833333,97.5,14.25583333,0.73
2/8/2023,79.09,87.17857143,7927.321429,91.25,17.45571429,19.38
2/9/2023,74.08,74.70833333,10000,27.91666667,7.865833333,0.75
