cloudiness,rain,temp_max,wind_speed,visibility,humidity,OLS,is_outlier,DATE
67.69230769,1.37,81.05,11.435,7884.4375,83.0,1.6193376177796455,False,0
95.29411765,14.09,78.1,18.10352941,6607.970588,86.0,2.9396090220389945,False,1
79.53125,5.83,79.05,13.549375,8445.21875,75.90625,1.2955938086213474,False,2
28.79166667,0.0,74.08,7.06125,10000.0,47.66666667,2.9696371069599845,False,3
21.45833333,0.0,74.1,5.162916667,10000.0,50.875,2.8678757455471855,False,4
48.33333333,0.25,80.11,11.22541667,9770.166667,69.95833333,0.7046727452684394,False,5
68.6,2.73,82.06,10.12,9402.48,80.2,1.1722758733628518,False,6
73.0,92.41,77.14,13.8575,8919.85,80.7,6.7483433097028716,False,7
8.958333333,0.0,71.11,10.32125,9985.666667,71.41666667,2.8680136324459524,False,8
77.8,0.5,78.08,9.07,8533.0,83.92,1.6965801265299674,False,9
60.41666667,0.25,82.04,14.70958333,9688.791667,80.25,1.9257126218336322,False,10
52.91666667,1.35,76.08,17.62208333,10000.0,68.29166667,2.5575001958617793,False,11
9.791666667,0.0,63.1,17.81875,10000.0,47.79166667,4.326015515555441,False,12
38.54166667,0.0,66.06,9.498333333,10000.0,45.5,3.339761597364164,False,13
86.25,0.0,74.08,15.35291667,10000.0,73.95833333,2.366051474026883,False,14
95.83333333,1.44,77.0,14.75833333,9861.291667,76.58333333,2.4953234273954505,False,15
85.2,0.5,80.06,9.3648,6517.6,84.08,2.9731321885803554,False,16
84.62962963,10.66,78.1,13.99740741,6513.740741,86.0,2.531752754858251,False,17
16.45833333,0.0,73.02,8.129583333,10000.0,51.66666667,2.4568941368189523,False,18
88.2,1.44,68.65,12.4196,9521.84,55.0,3.6385795537744032,False,19
99.0,18.47,56.05,12.8948,9190.92,80.36,2.844816495001432,False,20
45.2,0.5,62.58,10.9452,9092.0,76.48,2.196154506626887,False,21
23.54166667,0.0,61.02,10.71375,10000.0,58.04166667,2.5636226282272974,False,22
95.71428571,107.35,71.58,21.83685714,6547.827586,83.25714286,7.799409362473197,False,23
65.0,1.0,55.11,16.69625,10000.0,75.375,3.1532646422610515,False,24
18.125,0.0,59.11,8.700416667,10000.0,69.66666667,3.0514515656974783,False,25
44.79166667,0.0,59.09,6.049583333,10000.0,56.58333333,3.1498567425186947,False,26
98.33333333,8.23,72.05,15.61533333,8574.933333,82.6,1.985218359693605,False,27
94.85294118,27.23,75.92,14.18558824,7897.764706,87.38235294,1.937494987444679,False,28
100.0,2.22,68.09,13.2824,6319.708333,88.72,2.9600050435122425,False,29
100.0,2.04,45.05,13.69962963,3036.8,93.0,6.405758117803518,False,30
98.33333333,9.22,42.08,14.059,7375.666667,89.46666667,3.395891431119472,False,31
96.95121951,18.85,42.78,11.56121951,5545.463415,90.6097561,4.055483366133994,False,32
70.83333333,0.25,61.02,11.87,8448.541667,80.625,2.052335751788654,False,33
6.666666667,0.0,66.11,8.2725,10000.0,71.04166667,3.1482708817018668,False,34
66.45833333,0.0,76.08,8.879166667,10000.0,78.91666667,1.8765309725295423,False,35
53.125,0.0,75.11,15.56666667,10000.0,80.41666667,2.605739699326819,False,36
97.5,0.73,76.1,14.25583333,9755.833333,81.125,2.495114320673589,False,37
91.25,19.38,79.09,17.45571429,7927.321429,87.17857143,2.2538804743639473,False,38
27.91666667,0.75,74.08,7.865833333,10000.0,74.70833333,2.1045716172940714,False,39
47.08333333,0.0,69.06,11.76041667,10000.0,66.83333333,1.539351691025961,False,40
75.20833333,0.0,55.06,15.28291667,10000.0,67.95833333,2.8483628261204412,False,41
30.41666667,0.0,67.1,6.668333333,10000.0,68.625,2.262591199313136,False,42
35.20833333,0.0,76.01,6.825416667,10000.0,70.91666667,1.674892232297585,False,43
79.62962963,5.41,81.05,16.75296296,8872.037037,78.92592593,1.9621577643102823,False,44
78.65384615,37.32,78.12,12.28653846,7480.842105,86.38461538,2.3389522673580303,False,45
100.0,3.23,75.09,17.96666667,7995.148148,78.59259259,2.623982149717708,False,46
57.70833333,0.0,55.38,20.22208333,10000.0,51.125,4.32796346042668,False,47
16.04166667,0.0,58.08,10.90625,10000.0,53.75,3.0662906838210646,False,48
53.75,0.0,77.02,6.746666667,9918.625,72.95833333,1.7193498672405778,False,49
91.08333333,0.27,80.11,11.89375,7646.391304,85.79166667,1.9941672143857627,False,50
79.125,0.0,83.01,14.12125,9985.043478,81.41666667,2.142842931659125,False,51
86.78571429,8.98,83.01,19.6875,6625.928571,85.21428571,3.561321379109554,False,52
84.16666667,0.0,85.05,10.38583333,6001.25,84.45833333,3.477795564424848,False,53
87.92307692,1.0,82.06,9.040769231,5565.68,88.0,3.8874695225605604,False,54
82.2,0.5,84.06,8.2112,7140.52,82.6,2.609797057230292,False,55
69.6,0.5,83.1,14.4556,7857.68,81.08,1.9696800514202724,False,56
78.54166667,0.0,85.05,14.12916667,9330.0,69.0,1.91571488887051,False,57
68.66666667,0.0,86.02,8.6625,8628.681818,70.16666667,1.746703683652427,False,58
73.125,0.0,86.09,15.53958333,8539.625,82.125,1.9795772896471069,False,59
86.66666667,0.18,80.1,14.05083333,7720.625,86.95833333,2.058122766587007,False,60
51.0,0.84,76.08,20.7572,8924.32,64.6,3.685920581832156,False,61
1.666666667,0.0,83.05,6.747916667,10000.0,57.58333333,2.2085518100590957,False,62
2.5,0.0,82.11,8.372916667,9814.0,70.45833333,2.54624656580801,False,63
79.58333333,0.4,84.18,8.308333333,6604.26087,81.75,3.0669798369341037,False,64
89.0,0.0,85.1,8.6112,7431.652174,85.52,2.4749595112141596,False,65
69.58333333,0.41,87.03,9.63875,7921.708333,81.54166667,1.6937087059002816,False,66
63.95833333,0.0,87.06,11.17291667,7368.541667,79.66666667,2.201607671495187,False,67
54.79166667,0.4,83.01,7.109583333,8936.086957,80.58333333,1.598484790808455,False,68
82.70833333,0.0,87.98,11.38166667,9339.166667,76.33333333,1.6597005268309748,False,69
60.20833333,0.0,82.38,15.01,9344.333333,78.16666667,1.7318124441446794,False,70
60.625,0.0,73.06,16.82833333,9985.666667,65.20833333,2.391780712558648,False,71
38.54166667,0.0,69.06,13.23708333,10000.0,51.58333333,2.6561253529933415,False,72
32.08333333,0.16,73.11,12.63833333,9751.25,59.5,1.8897691734715156,False,73
86.72413793,6.42,76.01,17.02206897,7051.275862,85.06896552,2.6275065660667174,False,74
87.27272727,35.46,74.05,19.09606061,7259.5625,86.12121212,3.074887836019924,False,75
61.4,1.0,58.08,14.9616,9972.48,52.84,3.3010573183445744,False,76
64.375,0.25,61.05,11.69916667,10000.0,45.29166667,4.011182689073825,False,77
48.125,0.0,59.09,11.50625,10000.0,57.41666667,2.5424174969208564,False,78
98.95833333,0.14,74.08,18.31625,9200.458333,77.25,2.826550038747944,False,79
88.79166667,0.67,84.09,17.26375,8726.086957,81.875,2.3892716767758473,False,80
84.375,0.0,86.11,14.85416667,7607.409091,81.08333333,2.263682067420472,False,81
90.73076923,2.36,84.09,16.21269231,6772.333333,86.73076923,2.928670933674133,False,82
40.79166667,0.25,87.1,7.502916667,8541.043478,66.0,1.8597786222154753,False,83
66.66666667,3.11,85.01,7.835185185,6334.62963,70.40740741,3.8290346340844277,False,84
95.91666667,0.21,80.04,7.335,5245.26087,90.25,4.406393844815793,False,85
69.48,20.25,76.1,14.18,9986.24,70.24,2.162462729789667,False,86
85.20833333,4.73,74.05,12.75625,10000.0,54.08333333,3.65675683203256,False,87
95.625,0.12,80.1,15.15041667,8994.375,81.54166667,2.122521690993333,False,88
83.04166667,0.25,86.02,16.09708333,8980.913043,82.04166667,2.1261332464549887,False,89
60.23076923,1.25,89.06,9.074230769,7733.64,68.80769231,2.407261567085807,False,90
73.95833333,1.41,85.08,9.762916667,8501.0,65.20833333,2.3424965695253834,False,91
92.66666667,0.0,88.11,12.26916667,9150.782609,78.66666667,2.034529004982862,False,92
94.33333333,0.0,83.1,17.02541667,8276.521739,82.54166667,2.43520047257768,False,93
91.55172414,25.56,83.03,16.25344828,6583.758621,86.20689655,2.6965924666620467,False,94
97.4137931,10.59,66.18,14.91931034,8391.103448,90.37931034,2.2858147882509585,False,95
97.61904762,78.93,62.58,14.27904762,4974.285714,95.0952381,5.5382493778446715,False,96
95.19230769,4.58,73.11,11.06653846,6540.884615,90.84615385,2.728660416765978,False,97
72.70833333,5.33,77.05,7.62375,9918.625,82.125,2.3208469099783886,False,98
79.58333333,0.1,71.58,9.925416667,10000.0,80.58333333,2.3120164329363715,False,99
70.875,0.56,78.1,8.585,10000.0,72.29166667,1.8283065707005617,False,100
30.68,6.14,80.06,8.598,9305.391304,73.24,1.4003351294073891,False,101
28.04166667,1.11,81.05,4.984166667,9980.888889,74.125,2.1387446005304906,False,102
57.5,0.0,79.05,12.27666667,9755.875,78.54166667,1.4168610443845033,False,103
80.84615385,30.0,91.11,10.89615385,7907.5,82.5,2.1513674186884795,False,104
26.25,2.05,88.0,15.1325,9985.043478,52.0,2.8956574874548875,False,105
7.5,0.0,81.1,8.620833333,10000.0,47.125,2.7674812420218644,False,106
63.26923077,2.11,83.05,12.46115385,9810.076923,68.65384615,1.1672596883514297,False,107
58.54166667,0.0,86.11,14.5275,8419.791667,75.125,1.784350753979565,False,108
92.08333333,4.39,80.11,15.15041667,7663.208333,81.70833333,2.0379047247992967,False,109
87.51851852,46.13,81.05,10.66666667,8678.461538,83.2962963,3.297049247346844,False,110
40.41666667,0.0,80.98,14.97041667,10000.0,60.79166667,2.039068381550327,False,111
66.8,2.27,76.05,12.7884,9972.48,70.16,1.4355917699402496,False,112
87.5,0.41,77.02,12.52666667,10000.0,71.33333333,2.26566021880153,False,113
87.70833333,2.32,80.98,12.03916667,10000.0,70.20833333,2.338878483543365,False,114
89.03846154,3.42,84.06,13.01269231,8254.153846,83.23076923,1.6118042084832775,False,115
88.03030303,56.05,79.09,12.68787879,8035.878788,86.54545455,3.6835799058417305,False,116
7.958333333,0.0,87.12,7.955833333,10000.0,74.125,2.3948059489589273,False,117
81.15384615,22.73,79.05,17.00461538,9714.96,76.53846154,2.615510663361812,False,118
0.833333333,0.0,88.05,9.162083333,10000.0,60.54166667,2.112763006179162,False,119
10.83333333,0.0,88.11,7.12,10000.0,57.375,1.8309478877633139,False,120
49.41666667,0.0,84.11,7.309166667,9253.136364,76.95833333,1.2830923005933654,False,121
37.29166667,0.0,88.11,7.272916667,9985.666667,71.875,1.1023525399977616,False,122
88.125,1.21,85.1,10.46916667,9779.916667,75.91666667,2.160608744441275,False,123
79.58333333,0.2,94.1,11.46,8031.833333,80.83333333,1.9377829582523372,False,124
73.30769231,4.21,92.1,11.37846154,8625.48,80.0,1.261152310654419,False,125
63.96551724,23.19,86.05,14.00896552,5874.206897,88.86206897,3.5280030190498874,False,126
77.5,1.0,87.03,14.16538462,5981.846154,86.38461538,3.6085965846784642,False,127
79.61538462,14.13,78.78,12.00576923,7816.384615,86.84615385,1.435232169282539,False,128
86.25,89.27,77.05,10.2671875,6724.5,91.78125,6.134167967800957,False,129
83.95833333,1.06,90.1,13.08833333,9065.869565,84.125,1.812230106571406,False,130
71.45833333,1.34,91.06,15.68208333,9320.333333,80.5,2.056251152015976,False,131
89.44444444,15.99,84.11,13.68555556,9448.64,84.14814815,2.0814402137363315,False,132
68.61111111,104.28,85.05,14.38416667,7094.722222,90.38888889,7.259957201645292,False,133
55.8,2.45,89.02,9.1568,9673.72,82.84,1.5626008641938165,False,134
49.53846154,8.17,90.1,6.568076923,10000.0,77.19230769,1.6962197014015759,False,135
50.20833333,1.95,89.02,6.996666667,10000.0,77.91666667,1.5933633469066033,False,136
36.25,0.0,93.06,5.535833333,10000.0,66.95833333,1.5388322789684195,False,137
